Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"3378 Chiswick Ct # 52-1H, Silver Spring, MD 20906"	None	8/28/2014	20	4	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery/Mutual Coop	638	None	1	1	1	None	635	1	Kenneth Woodring	None	8442349	None	20906	79	None	2	1	None	1967	49999
"1121 University Blvd W Apt 601, Silver Spring, MD 20902"	1	5/20/2014	3	None	0	None	None	None	None	Deausen Realty	None	None	Comsource Property Management	328	None	1	1	None	None	410	60	Victor Nicmic	None	8353744	None	20902	122	None	2	4	None	1982	50000
"3406 Chiswick Ct # 47-3B, Silver Spring, MD 20906"	None	7/31/2014	18	6	1	1	0	None	None	CENTURY 21 NEW MILLENNIUM	None	None	Montgomery Mutual	740	None	1	1	1	None	800	28	Robert Force	None	8419169	None	20906	71	None	2	3	None	1967	57000
"1633 Carriage House Ter Apt F, Silver Spring, MD 20904"	None	9/11/2014	2	5	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	Tiers At Sil Spr	184	None	1	1	None	None	592	21	Dendry Aguilar	None	8453572	None	20904	106	None	2	3	None	1986	63000
"12001 Old Columbia Pike Apt 601, Silver Spring, MD 20904"	None	3/11/2014	None	None	1	1	0	None	None	Tri-State Realty Llc	None	None	Columbia Towers	320	None	1	1	1	None	550	2	Michelle Johnson	None	8289153	None	20904	118	None	2	1	None	1985	65000
"3382 Chiswick Ct # 51-1C, Silver Spring, MD 20906"	None	10/2/2014	20	8	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery Mutual Coop	691	None	1	1	None	None	990	1	Kenneth Woodring	None	8470981	1	20906	68	None	2	1	None	1967	67500
"3934 Bel Pre Rd Apt 6, Silver Spring, MD 20906"	None	4/25/2014	3	None	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	Grand Bel Ii	605	None	1	None	None	255	1016	2	Poonam Hemnani	None	8330038	None	20906	69	None	2	4	None	1976	70000
"3852 Bel Pre Rd # 4-182, Silver Spring, MD 20906"	None	5/12/2014	None	3	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring Downtown	None	None	Grand Bell Manor	499	None	1	1	1	None	908	30	Paul Marston	None	8345671	None	20906	77	None	2	3	None	1976	70000
"3365 S Leisure World Blvd # 95-1C, Silver Spring, MD 20906"	None	9/5/2014	7	8	1	1	0	None	None	Long &amp; Foster Real Estate	None	None	Montgomery Mutual	685	None	1	1	None	None	990	21	Frances Silk	None	8449658	None	20906	72	None	2	1	None	1967	71000
"3904 Bel Pre Rd Apt 1, Silver Spring, MD 20906"	None	9/25/2013	5	None	3	3	0	None	None	"Classic Realty, Ltd."	None	None	Grand Bell Ii	655	None	1	1	None	None	1169	60	Maribel Adad	None	8190272	None	20906	62	None	2	3	None	1974	72000
"614 Sligo Ave Apt 301, Silver Spring, MD 20910"	None	6/11/2014	None	None	1	0	1	None	None	Re/Max Allegiance	None	None	The Carolyn Condominium	640	None	1	1	1	None	1014	3	Damon J. Brockenberry	None	8374721	None	20910	75	None	2	3	None	1975	76000
"3340 Hewitt Ave # 4-1-A, Silver Spring, MD 20906"	None	11/1/2013	4	5	1	1	0	None	None	Cranford	None	None	Westchester West	320	None	1	1	None	None	7651	7	Bruce Wertz	None	8215900	None	20906	10	None	2	None	None	1973	79500
"1121 University Blvd W Apt 711, Silver Spring, MD 20902"	None	8/14/2014	1	None	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	University Tower	495	None	1	1	None	None	776	30	John Radcliffe	None	8432058	1	20902	106	None	2	3	None	1982	82500
"3730 Bel Pre Rd Apt 2, Silver Spring, MD 20906"	None	9/25/2014	2	None	3	3	0	None	None	LONG &amp; FOSTER - North Potomac/Gaithersburg	None	None	Fairways Codm	738	None	1	1	None	None	1245	5	Catalina Sandoval	None	8465447	None	20906	67	None	2	1	None	1978	82900
"3381 S Leisure World Blvd # 93-2B, Silver Spring, MD 20906"	None	3/13/2014	10	None	2	2	0	1.5	None	"Independent Realty, Inc"	None	None	Rossmoor Leisure	760	None	1	1	None	None	1308	4	MADLIN MAHDAWI	None	8290673	None	20906	69	None	2	3	None	1967	89900
"8601 Manchester Rd Apt 301, Silver Spring, MD 20901"	1	8/2/2014	3	None	1	1	0	None	None	LONG &amp; FOSTER - Potomac/Cabin John	None	None	Park Bradford	464	None	1	1	1	None	708	30	Stacey Sauter	None	8421862	None	20901	132	None	2	3	None	1985	93500
"3301 Hewitt Ave Apt 506, Silver Spring, MD 20906"	1	6/28/2014	2	6	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Hermitage Woods	345	None	1	1	None	None	981	14	Roberta Campbell	None	8390678	None	20906	101	None	2	1	None	1973	99000
"3844 Bel Pre Rd # 8-158, Silver Spring, MD 20906"	None	5/23/2014	3	None	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	Grand Del Manor	595	None	1	1	None	None	1166	14	Juan Umanzor	None	8357582	None	20906	85	None	2	None	None	1976	99000
"2210 Greenery Ln # 201-18, Silver Spring, MD 20906"	None	10/23/2013	4	None	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Glenwaye Gardens	505	None	1	1	None	None	1029	5	Marta Granados	None	8209473	None	20906	96	None	2	None	None	1974	99000
"3310 N Leisure World Blvd # 803-6, Silver Spring, MD 20906"	None	8/20/2014	12	None	1	1	0	None	None	Coldwell Banker Innovations	None	None	Fairways North C	412	None	1	1	None	None	850	14	Jeanne Pino	None	8436546	None	20906	118	None	2	1	None	1993	99900
"10809 Amherst Ave Apt F, Wheaton, MD 20902"	None	7/25/2014	3	None	1	1	0	None	None	RE/MAX Results - MD	None	None	Tiers At Wheaton	320.23	None	1	1	None	None	446	7	NICK CARRAS	None	8414404	None	20902	224	None	2	1	None	1983	99900
"1121 University Blvd W Apt 1315, Silver Spring, MD 20902"	1	8/25/2014	None	4	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	University Tower	725	None	1	1	None	None	1117	14	John Radcliffe	None	8439685	None	20902	90	None	2	3	None	1982	100000
"2206 Greenery Ln # 301-20, Silver Spring, MD 20906"	None	9/29/2014	1	None	2	2	0	1.5	None	Carrington Real Estate Services Llc	None	None	Glen Waye Gardens	495	None	1	1	None	None	1029	5	HENRY AMOBI	None	8468182	None	20906	102	None	2	1	None	1974	104900
"2921 N Leisure World Blvd # 1-421, Silver Spring, MD 20906"	1	7/14/2014	15	7	2	2	0	1.5	None	Re/Max Town Center	None	None	Rossmoor Mutual	459	None	1	1	1	None	953	3	Carmen Murphy	None	8404020	None	20906	110	None	2	4	None	1981	105000
"15107 Interlachen Dr # 2-319, Silver Spring, MD 20906"	1	9/10/2014	8	None	2	2	0	1.5	None	RE/MAX Realty Group	None	None	Leisure World	479	None	1	1	None	None	950	7	"Richard and Larry Prigal, Kate Snyder and Beth Borenstein"	None	8452717	None	20906	111	None	2	1	None	1984	105000
"2927 Shepperton Ter, Silver Spring, MD 20904"	None	7/16/2014	None	None	2	0	2	1.5	None	Rehman Realty	None	None	None	None	None	1	1	None	87.5	960	21	Abdul Q Chaudhry	1002	8406311	None	20904	115	None	2	None	None	1984	110000
"Hollywood Ave, Silver Spring, MD 20904"	None	3/22/2013	None	None	None	None	None	None	None	Exit Results Realty	None	None	None	None	None	None	None	None	None	None	240	Bonnie Williams	11325.6	8036752	None	20904	None	None	3	1	None	None	110000
"1121 University Blvd W Apt 813, Silver Spring, MD 20902"	1	9/17/2014	5	6	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	University Tower	737	None	1	1	None	None	911	7	John Radcliffe	None	8458752	1	20902	123	None	2	3	None	1982	112500
"1111 University Blvd W Apt 618, Silver Spring, MD 20902"	1	6/4/2014	4	3	2	2	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	University Twrs	709	None	1	1	1	None	1078	2	George Mugri	None	8368008	1	20902	107	None	2	1	None	1982	115000
"1900 Lyttonsville Rd Apt 1103, Silver Spring, MD 20910"	1	8/14/2014	7	4	0	None	None	None	None	"RE/MAX Realty Centre, Inc."	None	None	Park Sutton	508	None	1	1	None	None	540	4	Jami Dennis IV	None	8431055	None	20910	218	None	2	1	None	1964	117500
"1900 Lyttonsville Rd Apt 1101, Silver Spring, MD 20910"	None	7/21/2014	8	4	1	None	None	None	None	"Fairfax Realty, Inc."	None	None	Park Sutton	505	None	1	1	None	None	557	14	Gisela Goldberg	None	8410790	None	20910	213	None	2	1	None	1964	118500
"2418 Sun Valley Cir # 6-Gh, Silver Spring, MD 20906"	None	9/25/2014	1	None	3	3	0	None	None	Re/Max Town Center	None	None	Comsource Management	257	None	None	1	None	None	1064	7	Jonathan Lahey	None	8466023	None	20906	113	None	2	1	None	1971	120000
"2926 Hickory Leaf Way, Silver Spring, MD 20904"	None	10/4/2014	None	None	2	0	2	None	None	"Washington Area Properties, Llc"	None	None	Fairland	None	None	1	1	1	None	900	0.125	Randolph Perrin	784	8473542	None	20904	137	None	2	1	None	1983	123100
"15301 Pine Orchard Dr # 86-1J, Silver Spring, MD 20906"	1	8/11/2014	16	5	2	2	0	None	None	Weichert Realtors - Germantown / Upper Montgomery County	None	None	Rossmoor Mutual 19a	536	None	1	1	1	None	1043	5	Cesar Milla	None	8429198	None	20906	119	None	2	1	None	1978	124000
"12001 Old Columbia Pike Apt 414, Silver Spring, MD 20904"	None	6/7/2014	None	None	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Columbia Towers	438	None	1	1	None	None	1117	7	Marta Granados	None	8371129	1	20904	111	None	2	3	None	1985	124000
"12001 Old Columbia Pike Apt 703, Silver Spring, MD 20904"	1	7/21/2014	2	10	1	1	0	None	None	"Fairfax Realty, Inc."	None	None	Columbia Towers	388	None	1	1	None	None	801	14	Hildy Pollard	None	8411010	1	20904	156	None	2	1	None	1985	124700
"15107 Interlachen Dr # 2-207, Silver Spring, MD 20906"	1	9/16/2014	20	6	2	2	0	None	None	Realty Executives Premier	None	None	The Greens At Leisure World	490	None	1	1	1	None	990	14	Sandra Schulz	None	8457710	1	20906	126	None	2	1	None	1984	124900
"13409 Shady Knoll Dr Apt 214, Silver Spring, MD 20904"	None	7/25/2014	None	None	2	2	0	None	None	Realty Executives Leading Edge	None	None	Aspen Forest 2 C	272	None	1	1	1	None	1030	2	Angie Hashempour	None	8414618	None	20904	121	None	2	1	None	1988	124900
"15101 Interlachen Dr # 1-520, Silver Spring, MD 20906"	None	9/19/2014	15	7	2	2	0	None	None	Rosselle Realty Services	None	None	Leisure World	490	None	1	1	None	None	990	7	Faith Rosselle	None	8461652	None	20906	126	None	2	None	None	1984	124900
"1111 University Blvd W Apt 1219, Silver Spring, MD 20902"	1	8/31/2014	2	9	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	University Tower	585	None	1	1	1	None	100	14	Gloria Rosario	None	8444456	1	20902	1249	None	2	3	None	1982	124900
"2900 N Leisure World Blvd Apt 312, Silver Spring, MD 20906"	None	8/4/2014	17	8	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Turnberry Courts	469	None	1	1	None	None	896	7	Marilyn Greggs	None	8423182	None	20906	140	None	2	1	None	1998	125000
"13613 Sir Thomas Way # 1-A-24, Silver Spring, MD 20904"	None	8/23/2014	1	6	1	1	0	None	None	"Fairfax Realty, Inc."	None	None	The Vineyards Co	275	None	1	1	None	None	873	14	Fathemeh Bahremand	None	8438811	1	20904	147	None	2	3	None	1988	128000
"15107 Interlachen Dr # 2-609, Silver Spring, MD 20906"	1	8/4/2014	16	8	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Greens At Leisure World 2	559	None	1	1	None	None	1210	14	SUE HEYMAN	None	8423015	None	20906	107	None	2	1	None	1984	129500
"11619 New Hampshire Ave, Colesville, MD 20904"	None	7/28/2011	None	None	None	None	None	None	None	Re/Max All Pro	None	None	None	None	None	None	None	None	None	None	120	PAUL YANOSHIK	20037.6	7659677	None	20904	None	None	3	1	None	None	129800
"2012 Wallace Ave, Silver Spring, MD 20902"	None	7/10/2014	None	None	None	None	None	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	None	None	None	None	None	None	None	None	14	John Radcliffe	14810.4	8400662	None	20902	None	None	3	1	None	None	129900
"2906 Lisage Way, Silver Spring, MD 20904"	None	3/8/2014	None	6	3	None	None	2.5	None	Exit Elite Realty	None	None	None	None	None	1	1	1	86	900	2	Cheryll March	784	8287171	None	20904	144	None	2	4	None	1983	130000
"3232 Hewitt Ave # 2-3-A, Silver Spring, MD 20906"	None	9/24/2014	1	8	3	3	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Westchester West	523.95	None	1	1	1	None	1224	7	THOMAS COLE	None	8464568	1	20906	106	None	2	1	None	1973	130000
"3627 Leisure Wld Blvd # 18-C, Silver Spring, MD 20906"	None	9/1/2014	19	8	2	0	2	2	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery Mutual/Leisure Wrld	878	None	1	1	None	None	1600	30	Roberta Campbell	None	8444943	None	20906	84	None	2	3	None	1967	134900
"15027 Candover Ct # 279-C, Silver Spring, MD 20906"	None	8/7/2014	1	None	2	2	0	None	None	Reo Real Estate	None	None	Rossmoor Mutual 12	622	None	1	1	None	None	1059	21	Phillip Chernitzer	None	8426174	None	20906	127	None	2	1	None	1975	134900
"15100 Interlachen Dr Apt 915, Silver Spring, MD 20906"	1	6/13/2014	11	None	2	2	0	None	None	LONG &amp; FOSTER - Rockville/King Farm	None	None	Greens At Leisur	548	None	1	1	None	None	1115	2	Eve Marinik	None	8377357	1	20906	121	None	2	1	None	1984	134900
"3210 N Leisure World Blvd Apt 515, Silver Spring, MD 20906"	None	5/10/2014	11	8	1	1	0	1.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Vantage	489	None	1	1	None	None	910	14	Manuela Thoms	None	8344985	None	20906	148	None	2	1	None	2001	135000
"3148 Adderley Ct # 242D, Silver Spring, MD 20906"	None	8/3/2014	19	5	2	0	2	2.5	None	Re/Max Realty Plus	None	None	Rossmoor Mutual 11	623	None	1	1	1	None	1385	7	JIM LINTHICUM	None	8422113	1	20906	97	None	2	1	None	1975	135000
"15301 Wallbrook Ct # 48-3E, Silver Spring, MD 20906"	None	9/14/2014	18	7	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Leisure World Of Maryland	614	None	1	1	None	None	1157	14	Marilyn Chmielewski	None	8456648	None	20906	118	None	2	None	None	1977	136000
"3422 Gleneagles Dr # 77-B, Silver Spring, MD 20906"	None	9/30/2014	26	5	2	0	2	1.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery Mutual	800	None	1	1	None	None	1513	1	Doug Brasse	None	8468961	None	20906	92	None	2	1	None	1967	139000
"3132 Adderley Ct # 243-E, Silver Spring, MD 20906"	None	8/6/2014	15	8	2	0	2	2.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Mutual 11	612	None	1	1	None	None	1359	7	STAN MOFFSON	None	8424349	None	20906	102	None	2	None	None	1975	139000
"3238 Hewitt Ave # 5, Silver Spring, MD 20906"	None	9/12/2014	2	None	2	2	0	1.5	None	"Urban Brokers, LLC"	None	None	Westchester West	443	None	1	1	1	None	987	0.833333333	Monica Sharma	None	8454727	None	20906	141	None	2	None	None	1973	139000
"15300 Wallbrook Ct # 47-1B, Silver Spring, MD 20906"	1	9/22/2014	21	None	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Leisure World	602	None	1	1	1	None	1157	7	Kenneth Woodring	None	8463091	1	20906	121	None	2	1	None	1977	139950
"15100 Interlachen Dr # 4-822, Silver Spring, MD 20906"	None	9/15/2014	18	None	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Greens At Leisur	548	None	1	1	1	None	1115	6	SUE HEYMAN	None	8457393	None	20906	126	None	2	1	None	1984	140000
"15100 Interlachen Dr # 4-503, Silver Spring, MD 20906"	1	8/12/2014	28	None	2	2	0	None	None	Re/Max Town Center	None	None	Greens At Leisur	615	None	1	1	1	None	1317	7	Chris Kershisnik	None	8429357	None	20906	106	None	2	3	None	1984	140000
"15101 Interlachen Dr # 1-701, Silver Spring, MD 20906"	1	4/3/2014	20	5	2	2	0	None	None	Re/Max Town Center	None	None	The Grns At Leisure Wrld	550	1	1	1	1	None	1210	150	RICK THOMPSON &amp; TEAM	None	8308413	None	20906	116	None	2	3	Colonial	1984	140000
"14201 Wolf Creek Pl # 8-24, Silver Spring, MD 20906"	None	8/7/2014	5	6	3	3	0	None	None	"Fairfax Realty, Inc."	None	None	Wintergate At Longmead Cr	203.82	None	1	1	None	None	1054	7	Dendry Aguilar	None	8426075	None	20906	133	None	2	3	None	1993	140000
"13601 Sir Thomas Way # 2C34, Silver Spring, MD 20904"	None	3/20/2014	5	None	2	2	0	None	None	LONG &amp; FOSTER - Frederick	None	None	The Vineyards Co	350.27	None	1	1	None	None	1082	4	Douglas Gardiner	None	8296874	None	20904	130	None	2	3	None	1991	141100
"13005 Jewel Ct, Silver Spring, MD 20904"	None	8/5/2014	None	None	None	None	None	None	None	TTR Sotheby&#39;s International Realty	None	None	None	None	None	None	None	None	None	None	60	ZELDA HELLER	16552.8	8423755	None	20904	None	None	3	1	None	None	145000
"3812 Bel Pre Rd # 1-43, Silver Spring, MD 20906"	None	8/6/2014	4	3	2	None	None	None	None	"City Properties 2, Llc"	None	None	Shea Management Inc-Grand Bel	506	None	1	1	1	None	918	21	Elena Arevalo	None	8424599	None	20906	158	None	2	1	None	1976	145000
"12108 Bluhill Rd, Silver Spring, MD 20902"	None	3/19/2014	None	None	4	1	3	None	None	First Decision Realty Llc	None	None	None	None	None	1	1	None	None	1152	21	Jorge Alvarez	3746	8295665	None	20902	129	None	2	3	None	1950	149000
"15100 Interlachen Dr Apt 115, Silver Spring, MD 20906"	1	8/30/2014	22	8	2	2	0	None	None	Long &amp; Foster Real Estate	None	None	Greens Ii At Leisure World	548	None	1	None	None	None	1115	30	Kathleen Kane	None	8444403	None	20906	134	None	2	1	None	1984	149900
"3732 Bel Pre Rd Apt 1, Silver Spring, MD 20906"	None	6/14/2014	4	10	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	Fairways Codm	544	None	1	1	None	None	891	7	Cristina Sousa	None	8378016	1	20906	168	None	2	3	None	1978	149900
"3317 Sir Thomas Dr # 4-A-23, Silver Spring, MD 20904"	None	4/10/2014	3	None	2	2	0	None	None	LONG &amp; FOSTER - White Oak/Silver Spring	None	None	The Vineyards Co	350	None	1	1	None	None	1117	3	Top Producer AWS Customer	None	8315640	None	20904	134	None	2	1	None	1988	149900
"3307 Sir Thomas Dr # 5-B-32, Silver Spring, MD 20904"	None	10/11/2013	None	None	2	0	2	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	The Vineyards	350.27	None	1	1	None	None	1117	2	George Mugri	None	8202182	None	20904	134	None	2	3	None	1988	149900
"15064 Haslemere Ct # 262-C, Silver Spring, MD 20906"	None	9/30/2014	9	7	2	0	2	2.5	None	"RE/MAX Realty Centre, Inc."	None	None	Leisure World	662	None	1	None	1	None	1359	4	Tina Cheung	None	8469354	None	20906	110	None	2	1	None	1975	149990
"15000 Haslemere Ct # 265-A, Silver Spring, MD 20906"	None	9/17/2014	19	8	2	0	2	2.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Leisure World Mut 12	658	None	1	1	1	None	1359	7	Barbara Michaluk	None	8459362	None	20906	110	None	2	1	None	1975	150000
"14101 Fall Acre Ct # 4-22, Silver Spring, MD 20906"	None	3/1/2014	None	None	2	2	0	None	None	RE/MAX Realty Group	None	None	Wintergate At Lo	203.84	None	1	1	1	None	936	30	Top Producer AWS Customer	None	8282393	None	20906	160	None	2	3	None	1993	150000
"3313 Sir Thomas Dr # 4-C-43, Silver Spring, MD 20904"	None	8/12/2014	3	7	2	2	0	None	None	RE/MAX 2000	None	None	The Vineyards Co	350.27	None	1	1	None	None	1070	1	"Daniel B. Register, IV"	None	8429406	None	20904	145	None	2	3	None	1991	154900
"3107 Farnborough Ct # 257-A, Silver Spring, MD 20906"	None	9/27/2014	20	None	2	2	0	None	None	Long and Foster - North Bethesda/Rockville	None	None	Rossmoor Mutual 11	582	None	1	1	1	None	998	5	Lillamaud Hammond	None	8467606	None	20906	155	None	2	None	None	1975	154900
"3260 Gleneagles Dr # 104-G, Silver Spring, MD 20906"	None	10/3/2014	14	10	2	0	2	2.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Rossmoor / Leisure World	700	None	1	1	1	None	1445	1	JOSEPH MAROSY	None	8472662	1	20906	107	None	2	1	None	1970	154900
"15107 Interlachen Dr # 2-510, Silver Spring, MD 20906"	None	7/21/2014	18	7	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Greens At Leisure World	559	None	1	1	1	None	1225	7	SUE HEYMAN	None	8410952	None	20906	127	None	2	4	None	1984	155000
"2603 Randolph Rd, Silver Spring, MD 20902"	None	8/1/2014	None	None	3	3	0	None	None	"Sr Investments &amp; Realtors, Llc"	None	None	None	None	None	None	None	None	None	1530	30	Sohail Rehman	8712	8420090	None	20902	101	None	1	3	None	1950	155000
"14106 Valleyfield Dr # 3-6, Silver Spring, MD 20906"	None	9/23/2014	7	1	2	2	0	None	None	RE/MAX Excellence Realty	None	None	Wintergate At Lo	204	None	1	1	1	None	1053	5	A. SHAWN DORAN	None	8464258	None	20906	147	None	2	1	None	1991	155183
"13601 Sir Thomas Way # 2-C-33, Silver Spring, MD 20904"	None	9/27/2014	3	4	2	2	0	None	None	Caprika Realty	None	None	The Vineyards Co	350	None	1	None	1	None	1072	5	The Caprika Realty Team	None	8467578	None	20904	148	None	2	1	None	1991	159000
"10829 Amherst Ave Apt F, Silver Spring, MD 20902"	None	8/4/2014	1	None	2	2	0	None	None	RE/MAX PROS-GERMANTOWN	None	None	Tiers At Wheaton	192	None	1	1	1	None	588	14	Carl Stein	None	8422480	None	20902	270	None	2	1	None	1983	159000
"2610 Camelback Ln # 3-19, Silver Spring, MD 20906"	None	6/12/2014	2	None	3	3	0	None	None	RE/MAX PROS-GERMANTOWN	None	None	Wintergate At Lo	223	None	1	1	None	None	1051	60	Amadu Forna	None	8375137	None	20906	151	None	2	3	None	1992	159000
"2115 Walsh View Ter # 8-302, Silver Spring, MD 20902"	None	8/31/2014	3	5	1	1	0	None	None	Realty Executives Leading Edge	None	None	Americana Finmark	384	None	1	1	None	None	775	3	Supilai Gosakwattana	None	8444565	None	20902	205	None	2	3	None	1974	159000
"3321 Sir Thomas Dr # 3-B-44, Silver Spring, MD 20904"	None	10/1/2014	5	6	2	2	0	None	None	O&#39;Brien Realty - Prince Frederick Office	None	None	The Vineyards Co	350	None	1	1	None	None	1088	3	Kelly Aiken	None	8469889	1	20904	147	None	2	1	None	1989	159900
"3153 Adderley Ct # 248-D, Silver Spring, MD 20906"	None	11/29/2012	10	8	2	2	0	None	None	RE/MAX Realty Group	None	None	Rossmoor Mutual	586	None	1	None	1	None	998	2	RUSS GELSTON	None	7970858	None	20906	160	None	2	3	None	1975	159900
"2918 Hewitt Ave # 2, Silver Spring, MD 20906"	None	2/26/2013	None	8	3	0	3	None	None	"Eagle Real Estate Services, Llc"	None	None	Hermitage Park	273	None	1	1	1	None	668	30	Victor Ogun	None	8017921	None	20906	240	None	2	3	None	1994	160000
"15115 Interlachen Dr # 3-903, Silver Spring, MD 20906"	1	9/11/2014	12	6	2	2	0	None	None	LONG &amp; FOSTER - Potomac/Cabin John	None	None	Greens At Leisur	616	None	1	1	None	None	1317	21	LESLIE FRIEDSON	None	8453717	None	20906	125	None	2	1	None	1984	164000
"3501 Forest Edge Dr # 14-2A, Silver Spring, MD 20906"	1	5/19/2014	10	None	3	3	0	None	None	Long &amp; Foster Real Estate	None	None	Mutual 14 At Lwmc	698	None	1	1	None	None	1415	30	Slavka Novakova	None	8352429	None	20906	117	None	2	3	None	1977	165000
"13110 Layhill Rd, Silver Spring, MD 20906"	None	7/18/2013	None	None	None	None	None	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	None	None	None	None	None	None	30	Maureen Cappadona	33976.8	8136482	None	20906	None	None	3	1	None	None	165000
"4 Normandy Square Ct # 2-Bb, Silver Spring, MD 20906"	None	9/26/2014	None	8	3	3	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Longmead Crossin	275	None	1	1	1	None	1043	6	Elsie Diggs	None	8467354	None	20906	161	None	2	1	None	1988	167500
"8200 12th Ave, Silver Spring, MD 20903"	None	8/8/2014	None	None	2	0	2	None	None	"AVERY-HESS, REALTORS - Rockville Of"	None	None	None	None	None	1	None	None	None	916	7	Job Rop	5576	8427515	None	20903	185	None	2	3	None	1950	169900
"12007 Bluhill Rd, Silver Spring, MD 20902"	None	3/12/2014	None	None	3	0	3	1.5	None	Rosselle Realty Services	None	None	None	None	None	1	1	1	None	1224	7	Faith Rosselle	3877	8290422	None	20902	139	None	2	None	None	1950	169900
"13703 Modrad Way # 9-B-31, Silver Spring, MD 20904"	None	9/19/2014	5	6	2	2	0	None	None	Coldwell Banker Residential Brokerage - Ellicott City	None	None	The Vineyards Co	365	None	1	1	1	None	1056	31	Kate Ferguson	None	8460984	1	20904	166	None	2	1	None	1988	174900
"1421 Harding Ln, Silver Spring, MD 20905"	None	10/2/2014	None	4	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Burtonsville	None	None	None	None	None	None	None	1	None	1028	1	Elaine Stewart	32670	8471178	None	20905	170	None	1	1	None	1936	174900
"2401 Starcrest Dr, Silver Spring, MD 20904"	None	5/1/2014	None	None	None	None	None	None	None	Keller Williams Select Realtors	None	None	None	None	None	None	None	None	None	None	60	Robert Lucido	28314	8335524	None	20904	None	None	3	1	None	None	175000
"13523 Westwind Dr, Silver Spring, MD 20904"	None	8/13/2014	None	None	None	None	None	None	None	Keller Williams Select Realtors	None	None	None	None	None	None	None	None	None	None	30	Robert Lucido	27878.4	8430396	None	20904	None	None	3	1	None	None	175000
"13523 Westwind Dr, Silver Spring, MD 20904"	None	8/13/2014	None	None	None	None	None	None	None	Keller Williams Select Realtors	None	None	None	None	None	None	None	None	None	None	30	Robert Lucido	27878.4	8430396	None	20904	None	None	3	1	None	None	175000
"614 Sligo Ave Apt 308, Silver Spring, MD 20910"	None	9/30/2014	2	5	2	2	0	None	None	"Greenline Real Estate, Llc"	None	None	The Carolyn Condominium	676.1	None	1	1	1	None	1067	3	Thomas Spier	None	8469754	None	20910	164	None	2	1	None	1975	175000
